,PropertyOnly,One House,Two Houses,Three Houses,Four Houses,Hotel
Mediterranean Avenue,1698.113208,283.0188679,188.6792453,94.33962264,70.75471698,56.60377358
Baltic Avenue,625,104.1666667,69.44444444,34.72222222,26.04166667,23.14814815
Oriental Avenue,724.6376812,72.46376812,48.30917874,24.15458937,21.73913043,19.76284585
Vermont Avenue,819.6721311,81.96721311,54.64480874,27.32240437,24.59016393,22.35469449
Connecticut Avenue,725.8064516,60.48387097,48.38709677,24.19354839,21.50537634,20.16129032
St. Charles Place,494.1176471,70.58823529,47.05882353,23.52941176,22.58823529,23.52941176
States Avenue,600,85.71428571,57.14285714,28.57142857,27.42857143,28.57142857
Virginia Avenue,540.5405405,67.56756757,45.04504505,24.32432432,23.16602317,22.52252252
St. James Place,433.3868379,48.1540931,33.70786517,18.38610827,17.97752809,17.74098167
Tennessee Avenue,514.2857143,57.14285714,40,21.81818182,21.33333333,21.05263158
New York Avenue,441.1764706,44.11764706,32.0855615,17.64705882,17.64705882,17.64705882
Kentucky Avenue,470.0854701,64.1025641,46.15384615,24.72527473,26.37362637,27.47252747
Indiana Avenue,464.1350211,63.29113924,45.56962025,24.41229656,26.039783,27.12477396
Illinois Avenue,444.4444444,55.55555556,37.03703704,22.22222222,24.02402402,25.25252525
Atlantic Avenue,545.4545455,62.93706294,41.95804196,25.96153846,28.40236686,30.10033445
Ventnor Avenue,545.4545455,62.93706294,41.95804196,25.96153846,28.40236686,30.10033445
Marvin Gardens,421.686747,45.18072289,30.12048193,19.13536499,21.15780194,22.59036145
Pacific Avenue,422.1388368,56.28517824,37.52345216,24.3902439,26.6075388,28.69440459
North Carolina Avenue,576.9230769,76.92307692,51.28205128,33.33333333,36.36363636,39.21568627
Pennsylvania Avenue,463.3204633,54.05405405,36.03603604,24.32432432,27.02702703,28.95752896
Park Place,422.5352113,48.28973843,33.8028169,23.04737516,26.00216685,28.16901408
Boardwalk,400,50,33.33333333,21.42857143,23.52941176,25
